810 Spielberg, Steven
611 Francona, Terry
1667 Toynbee, Arnold Joseph
81 West, Morris
118 Naidu, Richard
617 Sanger, Margaret
629 Tuibua, Esala
1336 Jolie, Angelina
260 Kerouac, Jack
1088 Clarke, Arthur C.
538 Herschel, John
38 Goodman, Ellen
1437 Miller, Alex
1536 Boretz, Benjamin
353 Berry, Wendell
1242 Leo X (Pope)
1793 Gaye, Marvin
853 Henry, Matthew
1925 Krieger, Robbie
131 Austin, J. L.
1366 Gandhi, Indira
844 Birrell, Augustine
697 Shakur, Tupac
1935 Everett, Carl
495 Haley, Alex
88 Hunt, J. McV.
360 Schröder, Gerhard
671 Mitchell, Joni
1384 Malda, Rob "CmdrTaco"
1734 Kabir
1632 Turner, Ted
524 Dijkstra, Edsger
1953 Wesley, John
156 Klopstock, Friedrich Gottlieb
651 Toynbee, Arnold
256 Blalock, Jolene
1591 Tweed, William Marcy ("Boss")
18 Aaron, Hank
1033 Braun, Carol Moseley
1654 Clancy, Tom
335 Delson, Brad
154 Douglass, David
591 Martell, Yann
1693 Sturgeon, Theodore
295 Bryant, William Cullen
1376 Goldberg, Jonah
214 Angell, Norman
1182 Francis of Assisi
1696 Farjeon, Eleanor
616 Engelke, Anke
1615 Gergen, David
